team,wp,owp,oowp,rpi
American International,0.0,0.37433862433862436,0.2774854312354312,0.25654066997817
Ball State,0.6153846153846154,0.5455288301442147,0.5651903916118548,0.5679081668212249
Barry,0.3076923076923077,0.4073260073260073,0.4300228450847063,0.3880917918572572
Barton,0.4166666666666667,0.4119172494172494,0.47882412179096406,0.4298313218230324
Belmont Abbey,0.5384615384615384,0.5644462375231606,0.47158378923576866,0.5347344506859071
Benedict,0.0,0.358974358974359,0.45461392240238396,0.2931406600877755
BYU,0.75,0.6059974747474747,0.5726315496857455,0.6336566247951737
Catawba,0.42857142857142855,0.41840243090243096,0.4488946342712369,0.42856773116188185
Central State,0.0,0.36974206349206346,0.40730232980888575,0.28669661419825315
Charleston,0.46153846153846156,0.46114398422090724,0.49401304687681774,0.46945986921427346
Concordia,0.18181818181818182,0.6688402506584324,0.4804530236847919,0.4999879267049597
CSU Northridge,0.8461538461538461,0.5385780885780886,0.524972212156182,0.6120705588665514
Daemen,0.7,0.32226107226107226,0.482609213791906,0.4567828395785126
Dominican,0.15384615384615385,0.49390054390054394,0.42961844010391614,0.3928164204377894
D'Youville,0.2857142857142857,0.3595238095238095,0.4955765034998302,0.3750846020654337
Emmanuel,0.07142857142857142,0.3749958374958375,0.4636424450081031,0.32126567285708735
Erskine,0.4,0.259527972027972,0.4672039048321099,0.3465649622220135
Edward Waters,0.0,0.4794372294372295,0.41294138761671223,0.3429539616227928
Fairleigh Dickinson,0.5555555555555556,0.337037037037037,0.47943890924465893,0.42726713471857214
Fort Valley State,0.38461538461538464,0.490825413902337,0.48526520128379796,0.46288285342596414
Grand Canyon,0.75,0.7167508417508417,0.5216200771145826,0.6762804401540665
George Mason,0.6153846153846154,0.5090236686390532,0.4949989237970006,0.5321077191149306
Harvard,0.5,0.5692424242424242,0.4873139944101482,0.5314497107237491
Hawai'i,0.9285714285714286,0.6606726606726606,0.5916945821272744,0.710402833011006
Jessup,0.3333333333333333,0.2777777777777778,0.46639471639471647,0.3388209013209013
King,0.08333333333333333,0.39485236985236977,0.44028620316395045,0.32833106905050585
Kentucky State,0,0,0,0.0
Long Beach,1.0,0.5510719439290869,0.5857518999851666,0.671973946960835
Lees-McRae,0.14285714285714285,0.44891358641358636,0.43688885608075045,0.3693932929412665
Lewis,0.7333333333333333,0.5284315684315685,0.5134844694223648,0.5759202349047088
Lindenwood,0.2727272727272727,0.5814337177973541,0.5378356494765085,0.4933575894496224
Long Island,0.7272727272727273,0.3497527724800452,0.5006944260091113,0.48186817456048225
LeMoyne-Owen,0.0,0.4,0.45703084793993887,0.31425771198498476
Lincoln Memorial,0.9166666666666666,0.4364575239575241,0.512627733327936,0.5755523619774127
Loyola Chicago,0.9285714285714286,0.5381547024404167,0.5245463553949711,0.6323567972118083
Maryville,0.375,0.466412753912754,0.49575770198069774,0.4508958024515515
McKendree,0.6153846153846154,0.6953789799943646,0.5424577241665921,0.6371500748849842
Menlo,0.2,0.43030303030303035,0.45479648556571634,0.37885063654294426
Merrimack,0.5,0.14629629629629629,0.5030500546030848,0.32391066179891936
Morehouse,0,0,0,0.0
Missouri S&T,0.45454545454545453,0.45703084793993887,0.4863755660655352,0.4637456791227169
North Greenville,0.4444444444444444,0.4492014158680825,0.4343186569682296,0.44429148328720974
NJIT,0.6363636363636364,0.47070707070707063,0.5586086131528758,0.5340965977326633
Ohio State,0.46153846153846156,0.6093731055269516,0.5851200807227473,0.5663511883287781
Penn State,0.3333333333333333,0.5852684352684353,0.5534521763617667,0.5143305950579926
Pepperdine ,0.7272727272727273,0.5924340810704447,0.4744885752380531,0.5966573661629174
Purdue Fort Wayne,0.46153846153846156,0.5370714755330139,0.5083243809052616,0.5110014483774378
Princeton,0.5,0.6334090909090909,0.4912612614819783,0.56451986082504
Queens,0.5625,0.5227734071484071,0.5105733567409392,0.5296550427594384
Quincy,0.42857142857142855,0.4217556253270539,0.46283440458988123,0.4337292709538544
Rockhurst,0.3076923076923077,0.3536958767727999,0.47636523114256907,0.37286232309511913
Roosevelt University,0.0,0.40619047619047616,0.436533908759683,0.31222871528515883
Roberts Wesleyan,0.3,0.524047619047619,0.36698304690000494,0.42876957124881077
Saint Francis,0.15384615384615385,0.5077490885183192,0.5325794409745075,0.425480942964325
Sacred Heart,0.3,0.3759848484848485,0.4430392655777272,0.3737522406368561
St. Thomas Aquinas,0.5384615384615384,0.5094627594627594,0.4692598186882748,0.506661719018833
Stanford,0.6,0.6236363636363637,0.6237203252587868,0.6177482631328786
Thomas More,0.5,0.1111111111111111,0.44689484126984125,0.2922792658730159
Tusculum,0.38461538461538464,0.5510668818361126,0.46304302190379254,0.48744804254785057
UC Irvine,0.8333333333333334,0.6595238095238096,0.5752729126286817,0.6819134662524087
UCLA,0.7272727272727273,0.6874231828777283,0.5830914247997167,0.6713026294569752
UC Santa Barbara,0.5384615384615384,0.5203249741711281,0.5776825740354519,0.5391985152098117
UC San Diego,0.7142857142857143,0.5572039072039072,0.5877433183778624,0.6041092117678478
Mount Olive,0.8181818181818182,0.4431401931401931,0.47471752723417726,0.5447949329240954
Southern California,0.8181818181818182,0.4809599491417673,0.5096454241821374,0.5724367851618726
Vanguard,0.16666666666666666,0.6555555555555556,0.5098414636509875,0.49690481035719136
